# Program:featureCounts v1.6.3; Command:"featureCounts" "-s" "1" "--read2pos" "5" "-a" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/necessary_info/m38_p6/gencode.vM25.chr_patch_hapl_scaff.basic.annotation.gtf" "-o" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//counts/cpid_multireg_control_counts.txt" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam
ENSMUSG00000025905.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5588493;5588493;5588557;5588941;5589005;5589035;5589035;5598590;5598590;5598590;5598590;5602252;5602252;5602252;5602252	5588663;5588663;5588663;5589305;5589305;5589305;5589305;5598942;5598942;5598942;5598942;5602866;5604014;5606131;5606131	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4769	238	397
ENSMUSG00000103936.1	chr1	5617837	5618230	-	394	0	0
ENSMUSG00000093015.1	chr1	5644645	5644745	-	101	0	0
ENSMUSG00000103519.1	chr1	5842874	5844672	-	1799	0	0
ENSMUSG00000033774.4	chr1	5913707	5917398	-	3692	11	28
ENSMUSG00000103090.1	chr1	6048963	6050045	-	1083	0	0
ENSMUSG00000025907.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6214645;6227940;6229959;6233961;6234229;6238262;6239952;6244105;6244795;6245158;6245425;6245598;6247706;6248066;6248276;6260930;6262834;6263024;6264542;6265574;6268698;6270691;6272701;6274198	6214957;6228049;6230073;6234087;6234399;6238464;6240378;6244275;6244979;6245344;6245506;6245659;6247809;6248192;6250167;6261095;6262942;6263264;6264590;6265621;6268756;6270827;6272771;6276648	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7607	1313	1714
ENSMUSG00000090031.2	chr1;chr1;chr1	6209866;6213293;6214233	6215293;6213347;6214590	-;-;-	5428	8	13
ENSMUSG00000087247.3	chr1;chr1;chr1;chr1;chr1	6359218;6388573;6389440;6391040;6394270	6359514;6388626;6389520;6391116;6394731	+;+;+;+;+	971	3	0
ENSMUSG00000103355.1	chr1	6380394	6381032	+	639	0	1
ENSMUSG00000102706.1	chr1	6382634	6383106	-	473	0	0
ENSMUSG00000103845.1	chr1;chr1	6429655;6437487	6430374;6441296	-;-	4530	6	2
ENSMUSG00000033740.17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6487231;6487331;6487618;6487618;6730051;6730101;6730102;6737575;6737580;6737580;6752296;6752296;6752994;6752994;6752994;6752994;6752994;6752994;6768898;6768898;6768898;6768898;6768898;6768898;6770944;6770944;6770944;6770944;6770944;6770944;6795386;6795386;6795386;6795386;6795386;6795386;6802320;6802320;6802320;6802320;6802320;6802320;6807543;6807543;6807543;6807543;6807543;6807543;6809277;6809277;6809277;6809277;6809277;6809277;6810574;6810574;6810574;6810574;6810574;6810574;6817603;6817603;6817603;6817603;6817603;6817603;6819934;6819934;6819934;6819934;6819934;6819934;6827776;6827776;6827776;6827776;6827776;6827776;6833563;6833563;6833563;6833563;6833563;6833563;6842139;6842139;6842139;6842139;6842139;6842139;6842873;6842873;6842873;6842873;6842873;6842873;6844121;6844121;6844121;6844121;6844121;6844121;6844291;6844291;6844291;6844291;6844291;6844291;6845571;6845571;6845571;6845571;6845571;6845571;6848907;6848907;6848907;6848907;6848907;6848907;6855369;6855369;6855369;6855369;6855369;6855369;6857300;6857300;6857300;6857300;6857300;6857300;6858460;6858460;6858460;6858460;6858460;6858460	6487405;6487405;6487741;6487741;6730240;6730240;6730240;6737657;6737657;6737657;6752368;6752368;6753036;6753036;6753036;6753036;6753036;6753036;6768952;6768952;6768952;6768952;6768952;6768952;6770974;6770974;6770974;6770974;6770974;6770974;6795576;6795576;6795576;6795576;6795576;6795576;6803105;6803105;6803105;6803105;6803105;6803105;6807677;6807677;6807677;6807677;6807677;6807677;6809367;6809367;6809367;6809367;6809367;6809367;6810678;6810678;6810678;6810678;6810678;6810678;6817796;6817796;6817796;6817796;6817796;6817796;6820145;6820145;6820145;6820145;6820145;6820145;6828021;6828021;6828021;6828021;6828021;6828021;6833678;6833678;6833678;6833678;6833678;6833678;6842201;6842201;6842201;6842201;6842201;6842201;6842941;6842941;6842941;6842941;6842941;6842941;6844183;6844183;6844183;6844183;6844183;6844183;6844371;6844371;6844371;6844371;6844371;6844371;6845792;6845792;6845792;6845792;6845792;6845792;6848995;6848995;6848995;6848995;6848995;6848995;6855472;6855472;6855472;6855472;6855472;6855472;6857443;6857443;6857443;6857443;6857443;6857443;6860940;6858813;6859470;6860940;6860940;6860934	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6166	21	15
ENSMUSG00000103329.2	chr1	6861237	6864151	-	2915	0	0
ENSMUSG00000104385.1	chr1	6910560	6911222	+	663	0	0
ENSMUSG00000102135.1	chr1;chr1	6916559;6923400	6916995;6923588	+;+	626	0	0
ENSMUSG00000103282.1	chr1	6929759	6929788	+	30	0	0
ENSMUSG00000102534.1	chr1	6998217	6998541	+	325	0	0
ENSMUSG00000102213.1	chr1	7013762	7013920	+	159	0	0
ENSMUSG00000103629.1	chr1;chr1	7035915;7037055	7036392;7037217	+;+	641	0	0
ENSMUSG00000051285.17	chr1;chr1;chr1;chr1;chr1;chr1	7088920;7120194;7147637;7160892;7163248;7169515	7089216;7120615;7147739;7161063;7163371;7173628	+;+;+;+;+;+	5232	1022	1410
ENSMUSG00000098201.1	chr1	7136199	7136586	-	388	0	0
ENSMUSG00000103509.1	chr1	7148110	7152137	+	4028	1	0
ENSMUSG00000048538.7	chr1	7177739	7179037	+	1299	0	0
ENSMUSG00000103709.1	chr1	7189742	7189919	-	178	0	0
ENSMUSG00000077244.1	chr1	7265803	7265932	+	130	0	0
ENSMUSG00000102768.1	chr1	7315451	7316462	+	1012	0	0
ENSMUSG00000097797.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	7349406;7351771;7375886;7375888;7380386;7382027;7382027;7383644;7397718;7397718;7397718	7350390;7351894;7376007;7376007;7380491;7382082;7382082;7383840;7397795;7397801;7397869	-;-;-;-;-;-;-;-;-;-;-	1742	7	8
ENSMUSG00000103498.1	chr1;chr1	7410679;7411143	7410951;7411993	+;+	1124	0	0
ENSMUSG00000103067.1	chr1;chr1;chr1	7497968;7500585;7516174	7498462;7500709;7518149	+;+;+	2596	0	0
ENSMUSG00000102320.1	chr1	7591646	7591931	+	286	0	0
ENSMUSG00000104226.1	chr1	7597379	7599473	+	2095	0	0
ENSMUSG00000103903.1	chr1	7664081	7664961	+	881	0	0
ENSMUSG00000103557.1	chr1;chr1	7728861;7730484	7729992;7730565	-;-	1214	0	0
ENSMUSG00000025909.16	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	8361475;8361475;8361475;8363475;8414203;8414203;8414203;8414203;8445027;8445027;8445027;8445027;8447980;8447980;8447980;8447980;8463394;8463394;8463394;8463394;8465437;8465437;8465437;8465437;8554725;8554725;8554725;8554725;8583205;8583205;8583205;8583205;8595412;8595412;8595412;8595412;8607070;8607070;8607070;8607070;8624779;8624779;8624779;8624779;8677807;8677807;8677807;8677807;8677937;8677937;8677937;8677937;8679073;8679073;8679073;8679073;8681973;8681973;8681973;8681973;8782763;8782763;8782763;8782763;8803917;8803917;8803917;8803917;8882161;8882161;8999186;8999186;8999186;9203179;9203179;9203179;9298133;9298133;9298133	8363633;8363633;8363633;8363633;8414313;8414313;8414313;8414313;8445119;8445119;8445119;8445119;8448132;8448132;8448132;8448132;8463465;8463465;8463465;8463465;8465553;8465553;8465553;8465553;8554763;8554763;8554763;8554763;8583334;8583334;8583334;8583334;8595542;8595542;8595542;8595542;8607152;8607152;8607152;8607152;8624881;8624881;8624881;8624881;8677848;8677848;8677848;8677848;8677980;8677980;8677977;8677977;8679130;8679130;8679130;8679130;8682029;8682029;8682029;8682029;8782897;8782897;8782897;8782897;8803943;8803970;8803970;8803970;8882214;8882214;8999249;8999249;8999249;9203260;9203260;9203260;9299238;9298864;9298573	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4887	48	86
ENSMUSG00000102647.1	chr1	8450960	8453491	-	2532	0	0
ENSMUSG00000086235.1	chr1	8468426	8468825	-	400	0	0
ENSMUSG00000102253.1	chr1	8527780	8531313	-	3534	0	0
ENSMUSG00000093970.1	chr1	8588615	8588724	-	110	0	0
ENSMUSG00000103884.1	chr1	8643696	8644859	-	1164	0	4
ENSMUSG00000084353.1	chr1	8791923	8792162	-	240	0	0
ENSMUSG00000103933.1	chr1	8815842	8816039	+	198	0	3
ENSMUSG00000076135.1	chr1	8816138	8816247	+	110	0	0
ENSMUSG00000086195.1	chr1	8855928	8856267	-	340	0	0
ENSMUSG00000104504.1	chr1	8856763	8857102	+	340	0	0
ENSMUSG00000066693.2	chr1	8962996	8963621	-	626	0	0
ENSMUSG00000102316.1	chr1	9191067	9192116	-	1050	56	84
ENSMUSG00000103819.1	chr1	9258617	9259134	-	518	0	0
ENSMUSG00000102871.1	chr1	9286922	9290180	+	3259	0	0
ENSMUSG00000101571.2	chr1;chr1;chr1	9396773;9397140;9398217	9396981;9397419;9398687	-;-;-	960	0	0
ENSMUSG00000104428.1	chr1	9439741	9440376	-	636	0	0
ENSMUSG00000102272.1	chr1	9450579	9451748	+	1170	0	0
ENSMUSG00000065625.1	chr1	9458670	9458772	+	103	0	0
ENSMUSG00000103411.1	chr1;chr1;chr1	9499338;9500482;9500940	9499926;9500715;9501522	-;-;-	1406	0	0
ENSMUSG00000061024.8	chr1	9545408	9547455	+	2048	188	226
ENSMUSG00000025911.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9547948;9549907;9551717;9552923;9553318;9553623;9555538;9557000;9558133;9560109;9563509;9563797;9566781;9576191	9548151;9549944;9551757;9552976;9553472;9553819;9555615;9557105;9558285;9560207;9563587;9563893;9566938;9577970	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3239	121	168
ENSMUSG00000079671.8	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9560832;9563823;9600413;9619550;9620955;9620955;9631061;9631061	9561778;9563871;9603675;9619639;9621082;9621082;9631092;9631144	-;-;-;-;-;-;-;-	4561	1	5
ENSMUSG00000081441.3	chr1	9574548	9575649	+	1102	0	0
ENSMUSG00000067879.3	chr1;chr1;chr1;chr1;chr1;chr1	9601199;9606974;9613312;9619836;9622593;9624713	9601650;9607029;9613474;9619897;9622684;9627143	+;+;+;+;+;+	3256	2396	3645
ENSMUSG00000099827.1	chr1;chr1	9639255;9639571	9639309;9640582	-;-	1067	0	0
ENSMUSG00000025912.16	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9667415;9669537;9671579;9672212;9672212;9672540;9672540;9673101;9673101;9673745;9673745;9675967;9675967;9678272;9678272;9681785;9681785;9683097;9683097;9685636;9685636;9687561;9687561;9690081;9690081;9692718;9692718;9693287;9693287;9699935;9699935	9670012;9670012;9671758;9672316;9672316;9672656;9672656;9673215;9673215;9673887;9673887;9676335;9676335;9678505;9678505;9681889;9681889;9683168;9683168;9685810;9685810;9687781;9687781;9690173;9690173;9692789;9692789;9693392;9693392;9700024;9700209	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4980	15	45
ENSMUSG00000045210.8	chr1;chr1;chr1	9718622;9736966;9745450	9725350;9737052;9748382	-;-;-	9749	666	915
ENSMUSG00000097893.8	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9747956;9748587;9748589;9750358;9751809;9752449;9752449;9752449;9770672;9770960;9780333;9780730;9781533;9789656;9789656;9791125;9791125	9748604;9748645;9748645;9750405;9751928;9752564;9752564;9752564;9770795;9771095;9780431;9780813;9781608;9789780;9789780;9791924;9791318	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2418	3	0
ENSMUSG00000025915.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9798107;9798143;9827013;9848272;9848397;9865131;9865131;9865131;9865131;9868383;9868383;9868383;9868383;9871630;9871630;9871630;9871630;9872258;9872258;9872258;9872258;9877166;9877166;9877166;9877166;9879026;9879026;9879026;9879026;9880332;9880332;9880332;9880332;9881578;9881578;9881578;9881578;9881760;9881760;9881760;9881760;9884407;9884407;9884407;9884407;9884625;9884625;9884625;9884625;9885667;9885667;9885667;9885667;9886047;9886047;9886047;9886047;9888870;9888870;9888870;9888870;9891361;9891361;9891361;9891361;9898720;9898720;9898720;9898720	9798246;9798246;9827119;9848385;9848548;9865348;9865348;9865348;9865348;9868466;9868466;9868466;9868466;9871702;9871702;9871702;9871702;9872333;9872333;9872333;9872333;9877253;9877253;9877253;9877253;9879075;9879075;9879075;9879075;9880389;9880389;9880389;9880389;9881661;9881661;9881661;9881661;9881891;9881891;9881891;9881891;9884519;9884519;9884519;9884519;9884661;9884661;9884661;9884661;9885753;9885753;9885753;9885753;9886142;9886142;9886142;9886142;9889025;9889025;9889025;9889025;9891450;9891450;9891450;9891450;9899853;9900843;9900845;9900843	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4081	72	150
ENSMUSG00000046334.4	chr1	9802197	9802553	-	357	0	0
ENSMUSG00000088916.1	chr1	9834498	9834602	-	105	0	0
