# Program:featureCounts v1.6.3; Command:"featureCounts" "-s" "1" "--read2pos" "5" "-a" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/necessary_info/mm10/mm10.ensGene.gtf" "-o" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//counts/cpid_multireg_females_counts.txt" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1787_R2.dedup.bam" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1788_R2.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1787_R2.dedup.bam	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1788_R2.dedup.bam
ENSMUSG00000002459	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4909576;4909576;4910402;4910474;4912314;4912314;4912314;4912314;4912342;4916897;4916897;4916897;4916897;4916897;4922528;4923847;4923847;4923847;4923847;5018576;5019311;5019311;5019311;5020738;5062779;5070010;5070010;5070010	4910662;4910662;4910662;4910662;4912548;4912548;4912548;4912548;4912548;4916980;4916980;4916980;4916980;4916980;4923989;4923989;4923989;4923989;4923989;5018735;5019379;5019379;5019539;5021037;5063184;5070273;5070282;5070285	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4239	384	492
ENSMUSG00000091305	chr1	4927028	4927299	-	272	0	0
ENSMUSG00000102653	chr1	4938576	4940710	-	2135	19	42
ENSMUSG00000085623	chr1;chr1;chr1	4970857;4971632;4973565	4971128;4971828;4976820	+;+;+	3725	0	0
ENSMUSG00000091665	chr1	5063060	5064647	+	1588	1	0
ENSMUSG00000033793	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5070018;5083080;5083110;5083124;5083132;5083132;5083154;5083164;5084417;5084417;5084417;5084417;5084417;5084417;5084417;5089009;5089009;5089009;5089009;5089009;5089009;5089009;5093363;5093363;5093363;5093363;5093363;5093363;5093363;5095615;5095615;5095615;5095615;5095615;5095615;5098029;5098029;5098029;5098029;5098029;5101070;5101070;5101070;5117390;5117390;5117390;5117390;5124277;5124277;5124277;5124277;5133084;5133084;5133084;5133084;5135812;5135812;5135812;5143750;5143750;5143750;5143750;5149948;5149948;5149948;5162105;5162105;5162105	5070144;5083278;5083625;5083278;5083278;5083278;5083278;5083278;5084563;5084563;5086779;5084563;5084563;5084563;5084563;5089111;5089111;5089111;5089111;5089111;5089111;5089111;5093452;5093452;5093452;5095728;5093452;5093452;5093452;5095728;5095728;5095659;5095728;5095728;5095728;5099777;5098133;5098133;5098133;5098133;5101123;5101123;5101123;5117487;5117487;5117487;5117487;5124469;5124469;5124469;5124469;5133262;5133262;5133262;5133262;5135937;5135937;5135937;5143851;5145052;5143851;5143851;5150061;5150061;5150061;5162419;5162529;5162340	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9746	1887	2820
ENSMUSG00000104352	chr1;chr1	5276106;5277263	5276762;5277337	-;-	732	0	0
ENSMUSG00000104046	chr1	5307739	5310017	+	2279	0	0
ENSMUSG00000102907	chr1	5403547	5405578	+	2032	0	0
ENSMUSG00000025905	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5588466;5588493;5588557;5588941;5589005;5589035;5596518;5598590;5598590;5598590;5602252;5602252;5602252;5602252	5591311;5588663;5588663;5589305;5589305;5589305;5598942;5598942;5598942;5598942;5604014;5603153;5606131;5602866	+;+;+;+;+;+;+;+;+;+;+;+;+;+	9151	285	475
ENSMUSG00000103936	chr1	5617837	5618230	-	394	0	0
ENSMUSG00000093015	chr1	5644645	5644745	-	101	0	0
ENSMUSG00000103519	chr1	5842874	5844672	-	1799	0	0
ENSMUSG00000033774	chr1	5913707	5917398	-	3692	11	28
ENSMUSG00000103090	chr1	6048963	6050045	-	1083	0	0
ENSMUSG00000025907	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6206197;6206227;6214645;6214663;6215008;6223599;6227940;6227940;6227940;6227940;6227940;6228002;6229959;6229959;6229959;6229959;6229959;6229959;6233961;6233961;6233961;6233961;6233961;6234229;6234229;6234229;6234229;6234279;6238262;6238262;6238262;6238262;6239952;6239952;6239952;6240305;6240970;6244105;6244105;6244105;6244795;6244795;6244795;6244795;6245158;6245158;6245158;6245158;6245425;6245425;6245425;6245425;6245598;6245598;6245598;6245598;6247706;6247706;6247706;6247706;6248066;6248066;6248066;6248066;6248276;6248276;6248276;6248276;6249088;6249977;6250095;6250931;6260785;6260930;6260930;6260930;6260930;6262834;6262834;6262834;6262834;6262834;6262903;6262933;6263024;6263024;6263024;6263024;6263024;6263024;6264542;6264542;6264542;6264542;6264542;6265574;6265574;6265574;6265574;6265574;6265606;6268698;6268698;6268698;6268698;6268698;6270678;6270691;6270691;6270691;6270691;6270691;6272701;6272701;6272701;6272701;6272701;6274198;6274198;6274198;6274198;6274198	6206270;6206270;6214957;6214957;6215252;6223745;6228049;6228049;6228049;6228049;6228049;6228049;6230073;6230704;6230073;6230073;6230073;6230073;6234087;6234010;6234087;6234087;6234087;6234399;6234399;6234399;6234311;6234399;6238464;6238464;6238464;6238384;6240190;6240378;6240378;6240378;6244275;6244275;6244275;6244275;6244979;6244979;6244928;6244979;6245344;6245344;6245344;6245344;6245506;6245506;6245506;6245506;6245659;6245659;6245659;6245659;6247809;6247809;6247809;6247809;6248192;6248192;6248192;6248192;6248358;6250167;6249029;6250167;6250167;6250167;6250167;6251258;6261095;6261095;6261095;6261095;6261095;6262854;6262942;6262942;6262942;6262942;6262942;6262942;6263264;6263264;6263264;6263264;6263264;6263264;6264590;6264893;6264590;6264590;6264590;6265621;6265810;6265621;6265621;6265621;6265621;6268756;6268756;6268756;6268756;6268756;6270827;6272765;6270818;6270827;6270827;6270827;6272771;6272771;6272771;6272771;6272771;6275575;6274489;6274490;6275577;6276648	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14690	1337	1756
ENSMUSG00000090031	chr1;chr1;chr1;chr1	6209866;6213293;6214233;6214612	6215293;6213347;6214590;6215292	-;-;-;-	5428	8	13
ENSMUSG00000087247	chr1;chr1;chr1;chr1;chr1	6359218;6388573;6389440;6391040;6394270	6359514;6388626;6389520;6391116;6394731	+;+;+;+;+	971	3	0
ENSMUSG00000103355	chr1	6380394	6381032	+	639	0	1
ENSMUSG00000102706	chr1	6382634	6383106	-	473	0	0
ENSMUSG00000103845	chr1;chr1	6429655;6437487	6430374;6441296	-;-	4530	6	2
ENSMUSG00000033740	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6487231;6487331;6487618;6487618;6730051;6730053;6730070;6730101;6730102;6734870;6737575;6737580;6737580;6737580;6752296;6752296;6752296;6752994;6752994;6752994;6752994;6752994;6752994;6752994;6752994;6752994;6753556;6768898;6768898;6768898;6768898;6768898;6768898;6768898;6768898;6768898;6770944;6770944;6770944;6770944;6770944;6770944;6770944;6770944;6770944;6795386;6795386;6795386;6795386;6795386;6795386;6795386;6795386;6795386;6802320;6802320;6802320;6802320;6802320;6802320;6802320;6802791;6803574;6807543;6807543;6807543;6807543;6807543;6807543;6807543;6809277;6809277;6809277;6809277;6809277;6809277;6809277;6810574;6810574;6810574;6810574;6810574;6810574;6817600;6817603;6817603;6817603;6817603;6817603;6817603;6819934;6819934;6819934;6819934;6819934;6819934;6819934;6827776;6827776;6827776;6827776;6827776;6827776;6827897;6833563;6833563;6833563;6833563;6833563;6833563;6833563;6833563;6842139;6842139;6842139;6842139;6842139;6842139;6842139;6842873;6842873;6842873;6842873;6842873;6842873;6842873;6844121;6844121;6844121;6844121;6844121;6844121;6844121;6844291;6844291;6844291;6844291;6844291;6844291;6844291;6845571;6845571;6845571;6845571;6845571;6845571;6845571;6848907;6848907;6848907;6848907;6848907;6848907;6848907;6855369;6855369;6855369;6855369;6855369;6855369;6857300;6857300;6857300;6857300;6857300;6857300;6857341;6858460;6858460;6858460;6858460;6858460;6858460;6858988	6487405;6487405;6487741;6487741;6730240;6730240;6730240;6730240;6730240;6734972;6737657;6737657;6737657;6737657;6752368;6752368;6752368;6753036;6753036;6753036;6753036;6753036;6753036;6753036;6753036;6753036;6753602;6768952;6768952;6768952;6768952;6768952;6768952;6768952;6768952;6768952;6770974;6770974;6770974;6770974;6770974;6770974;6770974;6770974;6770974;6795576;6795576;6795576;6795576;6795550;6795425;6795576;6795576;6795576;6803105;6802688;6803105;6803105;6803105;6803105;6803105;6803105;6803718;6807677;6807677;6807677;6807677;6807677;6807677;6807677;6809365;6809367;6809367;6809367;6809367;6809367;6809367;6810678;6810678;6810678;6810678;6810678;6810678;6817796;6817796;6817796;6817796;6817796;6817796;6817796;6820145;6820145;6820145;6820145;6820145;6820145;6820145;6828021;6828021;6828021;6828021;6828021;6828021;6828021;6833598;6833678;6833678;6833678;6833678;6833678;6833678;6833678;6842201;6842201;6842201;6842201;6842201;6842201;6842201;6842941;6842941;6842941;6842941;6842941;6842941;6842941;6844183;6844183;6844183;6844183;6844183;6844183;6844183;6844371;6844371;6844371;6844371;6844371;6844371;6844371;6845792;6845792;6845792;6845792;6845792;6845792;6845792;6848984;6848995;6848995;6848995;6848995;6848995;6848995;6855472;6855472;6855472;6855472;6855472;6855472;6857443;6857443;6857443;6857443;6857443;6857443;6857443;6860940;6858813;6859470;6860940;6860940;6860934;6859604	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6464	22	15
ENSMUSG00000103329	chr1	6861237	6864151	+	2915	0	0
ENSMUSG00000104385	chr1	6910560	6911222	+	663	0	0
ENSMUSG00000102135	chr1;chr1	6916559;6923400	6916995;6923588	+;+	626	0	0
ENSMUSG00000103282	chr1	6929759	6929788	+	30	0	0
ENSMUSG00000102534	chr1	6998217	6998541	+	325	0	0
ENSMUSG00000102213	chr1	7013762	7013920	+	159	0	0
ENSMUSG00000103629	chr1;chr1	7035915;7037055	7036392;7037217	+;+	641	0	0
ENSMUSG00000051285	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	7088920;7088930;7089104;7089166;7120194;7147637;7147637;7147637;7147637;7154867;7155080;7155080;7160085;7160557;7160892;7160892;7160892;7160892;7160892;7163248;7163248;7163248;7163248;7163248;7163248;7166309;7169515;7169515;7169515;7169515;7169515;7169515	7089216;7089216;7089216;7089216;7120615;7147739;7147739;7147739;7147739;7155271;7155271;7155271;7161063;7161063;7161063;7161063;7160902;7161063;7161063;7163371;7163371;7163371;7163371;7163371;7163371;7166518;7172659;7172618;7170076;7172122;7169598;7173628	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6654	1022	1410
ENSMUSG00000098201	chr1	7136199	7136586	-	388	0	0
ENSMUSG00000103509	chr1	7148110	7152137	+	4028	1	0
ENSMUSG00000048538	chr1	7177739	7179037	+	1299	0	0
ENSMUSG00000103709	chr1	7189742	7189919	-	178	0	0
ENSMUSG00000077244	chr1	7265803	7265932	+	130	0	0
ENSMUSG00000102768	chr1	7315451	7316462	+	1012	0	0
ENSMUSG00000097797	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	7349406;7351771;7375886;7375888;7378687;7380386;7382027;7382027;7383644;7397718;7397718;7397718	7350390;7351894;7376007;7376007;7381389;7380491;7382082;7382082;7383840;7397869;7397795;7397801	-;-;-;-;-;-;-;-;-;-;-;-	4339	12	21
ENSMUSG00000103498	chr1;chr1	7410679;7411143	7410951;7411993	+;+	1124	0	0
ENSMUSG00000103067	chr1;chr1;chr1	7497968;7500585;7516174	7498462;7500709;7518149	+;+;+	2596	0	0
ENSMUSG00000102320	chr1	7591646	7591931	+	286	0	0
ENSMUSG00000104226	chr1	7597379	7599473	+	2095	0	0
ENSMUSG00000103903	chr1	7664081	7664961	+	881	0	0
ENSMUSG00000103557	chr1;chr1	7728861;7730484	7729992;7730565	-;-	1214	0	0
